TEAM,FUNDS REMAINING,OVERSEAS PLAYERS,TOTAL PLAYERS,Year
Chennai Super Kings,1846087.0,11.0,22.0,2013
Delhi Daredevils,655978.0,11.0,26.0,2013
Kings XI Punjab,6072826.0,8.0,23.0,2013
Kolkata Knight Riders,1508696.0,11.0,23.0,2013
Mumbai Indians,341739.0,11.0,28.0,2013
Pune Warriors India,804130.0,11.0,33.0,2013
Rajasthan Royals,7071304.0,10.0,21.0,2013
Royal Challengers Bangalore,711522.0,10.0,31.0,2013
Sunrisers Hyderabad,5583696.0,11.0,26.0,2013
Chennai Super Kings,2000000.0,9.0,25.0,2014
Delhi Daredevils,0.0,7.0,23.0,2014
Kings XI Punjab,41000000.0,7.0,23.0,2014
Kolkata Knight Riders,10000000.0,8.0,21.0,2014
Mumbai Indians,500000.0,8.0,21.0,2014
Rajasthan Royals,55500000.0,8.0,25.0,2014
Royal Challengers Bangalore,0.0,7.0,21.0,2014
Sunrisers Hyderabad,10000000.0,7.0,24.0,2014
Chennai Super Kings,7000000.0,9.0,25.0,2015
Delhi Daredevils,13500000.0,9.0,25.0,2015
Kings XI Punjab,92000000.0,7.0,22.0,2015
Kolkata Knight Riders,92000000.0,9.0,23.0,2015
Mumbai Indians,49050000.0,9.0,26.0,2015
Rajasthan Royals,106500000.0,8.0,25.0,2015
Royal Challengers Bangalore,20000000.0,9.0,26.0,2015
Sunrisers Hyderabad,93500000.0,8.0,23.0,2015
Delhi Daredevils,61500000.0,9.0,27.0,2016
Gujarat Lions,103500000.0,7.0,24.0,2016
Kings XI Punjab,124500000.0,7.0,22.0,2016
Kolkata Knight Riders,122500000.0,9.0,22.0,2016
Mumbai Indians,13050000.0,8.0,26.0,2016
Rising Pune Supergiant,52000000.0,7.0,23.0,2016
Royal Challengers Bangalore,61750000.0,9.0,25.0,2016
Sunrisers Hyderabad,84000000.0,7.0,25.0,2016
Delhi Daredevils,90500000.0,9.0,26.0,2017
Gujarat Lions,105000000.0,8.0,27.0,2017
Kings XI Punjab,139000000.0,9.0,27.0,2017
Kolkata Knight Riders,54000000.0,9.0,23.0,2017
Mumbai Indians,33550000.0,9.0,27.0,2017
Rising Pune Supergiant,3000000.0,8.0,26.0,2017
Royal Challengers Bangalore,24250000.0,9.0,24.0,2017
Sunrisers Hyderabad,122500000.0,9.0,25.0,2017
Chennai Super Kings,65000000.0,8.0,25.0,2018
Delhi Daredevils,16000000.0,8.0,25.0,2018
Kings XI Punjab,1000000.0,7.0,21.0,2018
Kolkata Knight Riders,0.0,7.0,19.0,2018
Mumbai Indians,6500000.0,8.0,25.0,2018
Rajasthan Royals,16500000.0,8.0,23.0,2018
Royal Challengers Bangalore,1500000.0,8.0,24.0,2018
Sunrisers Hyderabad,6500000.0,8.0,25.0,2018
Rajasthan Royals,21500000.0,8.0,25.0,2019
Kings XI Punjab,21500000.0,8.0,25.0,2019
Kings XI Punjab,21500000.0,8.0,25.0,2019
Delhi Capitals,21500000.0,8.0,25.0,2019
Kolkata Knight Riders,21500000.0,8.0,25.0,2019
Delhi Capitals,21500000.0,8.0,25.0,2019
Chennai Super Kings,21500000.0,8.0,25.0,2019
Royal Challengers Bangalore,21500000.0,8.0,25.0,2019
Chennai Super Kings,1500000.0,8.0,24.0,2020
Delhi Capitals,90000000.0,8.0,22.0,2020
Kings XI Punjab,165000000.0,8.0,25.0,2020
Kolkata Knight Riders,85000000.0,8.0,23.0,2020
Mumbai Indians,19500000.0,8.0,24.0,2020
Rajasthan Royals,147500000.0,8.0,25.0,2020
Royal Challengers Bangalore,64000000.0,8.0,21.0,2020
Sunrisers Hyderabad,101000000.0,8.0,25.0,2020
Chennai Super Kings,25500000.0,8.0,25.0,2021
Delhi Capitals,21500000.0,8.0,25.0,2021
Kolkata Knight Riders,32000000.0,8.0,25.0,2021
Mumbai Indians,36500000.0,8.0,25.0,2021
Punjab Kings,188000000.0,8.0,25.0,2021
Rajasthan Royals,136500000.0,8.0,24.0,2021
Royal Challengers Bangalore,3500000.0,8.0,22.0,2021
Sunrisers Hyderabad,69500000.0,8.0,25.0,2021
Chennai Super Kings,29500000.0,8.0,25.0,2022
Delhi Capitals,1000000.0,7.0,24.0,2022
Gujarat Titans,1500000.0,8.0,23.0,2022
Kolkata Knight Riders,4500000.0,8.0,25.0,2022
Lucknow Super Giants,0.0,7.0,21.0,2022
Mumbai Indians,1000000.0,8.0,25.0,2022
Punjab Kings,34500000.0,7.0,25.0,2022
Rajasthan Royals,9500000.0,8.0,24.0,2022
Royal Challengers Bangalore,15500000.0,8.0,22.0,2022
Sunrisers Hyderabad,1000000.0,8.0,23.0,2022
Chennai Super Kings,15000000.0,8.0,25.0,2023
Delhi Capitals,44500000.0,8.0,25.0,2023
Gujarat Titans,44500000.0,8.0,25.0,2023
Kolkata Knight Riders,16500000.0,8.0,22.0,2023
Lucknow Super Giants,35500000.0,8.0,25.0,2023
Mumbai Indians,500000.0,8.0,24.0,2023
Punjab Kings,122000000.0,7.0,22.0,2023
Rajasthan Royals,33500000.0,8.0,25.0,2023
Royal Challengers Bangalore,17500000.0,8.0,25.0,2023
Sunrisers Hyderabad,65500000.0,8.0,25.0,2023
Chennai Super Kings,10000000.0,8.0,25.0,2024
Delhi Capitals,99000000.0,8.0,25.0,2024
Gujarat Titans,78500000.0,8.0,25.0,2024
Kolkata Knight Riders,13500000.0,8.0,23.0,2024
Lucknow Super Giants,9500000.0,8.0,25.0,2024
Mumbai Indians,10500000.0,8.0,25.0,2024
Punjab Kings,41500000.0,8.0,25.0,2024
Rajasthan Royals,2000000.0,8.0,22.0,2024
Royal Challengers Bengaluru,28500000.0,8.0,25.0,2024
Sunrisers Hyderabad,32000000.0,8.0,25.0,2024
